"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 04 21:34:16 GMT 2025","Wed Jun 04 21:34:17 GMT 2025","799","","ui.NavigationTests","","ui.NavigationTests","testNextButton","testNextButton()",""
"passed","Wed Jun 04 21:34:17 GMT 2025","Wed Jun 04 21:34:17 GMT 2025","697","","ui.WebFormTests","","ui.WebFormTests","testOpenWebForm","testOpenWebForm()",""
"passed","Wed Jun 04 21:34:14 GMT 2025","Wed Jun 04 21:34:15 GMT 2025","869","","ui.NavigationTests","","ui.NavigationTests","testOpenNavigationPage","testOpenNavigationPage()",""
"passed","Wed Jun 04 21:34:06 GMT 2025","Wed Jun 04 21:34:14 GMT 2025","8683","","ui.LoadingImagesTest","","ui.LoadingImagesTest","verifyLoadingAllImages","verifyLoadingAllImages()",""
"passed","Wed Jun 04 21:34:15 GMT 2025","Wed Jun 04 21:34:16 GMT 2025","655","","ui.NavigationTests","","ui.NavigationTests","testNavigate","testNavigate()",""
"passed","Wed Jun 04 21:33:59 GMT 2025","Wed Jun 04 21:34:01 GMT 2025","1498","","ui.DialogBoxesTests","","ui.DialogBoxesTests","testDialogBoxes","testDialogBoxes()",""
"passed","Wed Jun 04 21:33:57 GMT 2025","Wed Jun 04 21:33:57 GMT 2025","97","","api.ApiTests","","api.ApiTests","simpleApiTest","simpleApiTest()",""
"passed","Wed Jun 04 21:33:57 GMT 2025","Wed Jun 04 21:33:59 GMT 2025","2371","","ui.DialogBoxesTests","","ui.DialogBoxesTests","testAlert","testAlert()",""
"passed","Wed Jun 04 21:34:01 GMT 2025","Wed Jun 04 21:34:01 GMT 2025","636","","ui.HomePageTest","","ui.HomePageTest","testOpenHomePage","testOpenHomePage()",""
"passed","Wed Jun 04 21:34:17 GMT 2025","Wed Jun 04 21:34:18 GMT 2025","746","","ui.WebFormTests","","ui.WebFormTests","testSubmitForm","testSubmitForm()",""
"passed","Wed Jun 04 21:34:01 GMT 2025","Wed Jun 04 21:34:05 GMT 2025","3748","","ui.HomePageTest","","ui.HomePageTest","testClickAllLinks","Click through all links on the homepage",""
"passed","Wed Jun 04 21:34:05 GMT 2025","Wed Jun 04 21:34:06 GMT 2025","530","","ui.HomePageTest","","ui.HomePageTest","testOpenAllLinks","Open all links",""
"passed","Wed Jun 04 21:33:55 GMT 2025","Wed Jun 04 21:33:57 GMT 2025","1719","","api.ApiTests","","api.ApiTests","simpleTest","simpleTest()",""
