"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 13 12:54:08 GMT 2025","Tue May 13 12:54:10 GMT 2025","1577","","ui.DialogBoxesTests","","ui.DialogBoxesTests","testDialogBoxes","testDialogBoxes()",""
"passed","Tue May 13 12:54:05 GMT 2025","Tue May 13 12:54:08 GMT 2025","3140","","ui.DialogBoxesTests","","ui.DialogBoxesTests","testAlert","testAlert()",""
"passed","Tue May 13 12:54:29 GMT 2025","Tue May 13 12:54:30 GMT 2025","865","","ui.NavigationTests","","ui.NavigationTests","testNextButton","testNextButton()",""
"passed","Tue May 13 12:54:19 GMT 2025","Tue May 13 12:54:27 GMT 2025","8747","","ui.LoadingImagesTest","","ui.LoadingImagesTest","verifyLoadingAllImages","verifyLoadingAllImages()",""
"passed","Tue May 13 12:54:10 GMT 2025","Tue May 13 12:54:11 GMT 2025","597","","ui.HomePageTest","","ui.HomePageTest","testOpenHomePage","testOpenHomePage()",""
"passed","Tue May 13 12:54:18 GMT 2025","Tue May 13 12:54:19 GMT 2025","570","","ui.HomePageTest","","ui.HomePageTest","testOpenAllLinks","Open all links",""
"passed","Tue May 13 12:54:31 GMT 2025","Tue May 13 12:54:32 GMT 2025","758","","ui.WebFormTests","","ui.WebFormTests","testSubmitForm","testSubmitForm()",""
"passed","Tue May 13 12:54:11 GMT 2025","Tue May 13 12:54:18 GMT 2025","7372","","ui.HomePageTest","","ui.HomePageTest","testClickAllLinks","Click through all links on the homepage",""
"passed","Tue May 13 12:54:30 GMT 2025","Tue May 13 12:54:31 GMT 2025","748","","ui.WebFormTests","","ui.WebFormTests","testOpenWebForm","testOpenWebForm()",""
"passed","Tue May 13 12:54:27 GMT 2025","Tue May 13 12:54:28 GMT 2025","1076","","ui.NavigationTests","","ui.NavigationTests","testOpenNavigationPage","testOpenNavigationPage()",""
"passed","Tue May 13 12:54:28 GMT 2025","Tue May 13 12:54:29 GMT 2025","696","","ui.NavigationTests","","ui.NavigationTests","testNavigate","testNavigate()",""
