"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 13 13:18:03 GMT 2025","Tue May 13 13:18:12 GMT 2025","8728","","ui.LoadingImagesTest","","ui.LoadingImagesTest","verifyLoadingAllImages","verifyLoadingAllImages()",""
"passed","Tue May 13 13:17:51 GMT 2025","Tue May 13 13:17:54 GMT 2025","2808","","ui.DialogBoxesTests","","ui.DialogBoxesTests","testAlert","testAlert()",""
"passed","Tue May 13 13:18:13 GMT 2025","Tue May 13 13:18:14 GMT 2025","678","","ui.NavigationTests","","ui.NavigationTests","testNavigate","testNavigate()",""
"passed","Tue May 13 13:18:12 GMT 2025","Tue May 13 13:18:13 GMT 2025","1356","","ui.NavigationTests","","ui.NavigationTests","testOpenNavigationPage","testOpenNavigationPage()",""
"passed","Tue May 13 13:17:54 GMT 2025","Tue May 13 13:17:55 GMT 2025","1593","","ui.DialogBoxesTests","","ui.DialogBoxesTests","testDialogBoxes","testDialogBoxes()",""
"passed","Tue May 13 13:18:15 GMT 2025","Tue May 13 13:18:16 GMT 2025","709","","ui.WebFormTests","","ui.WebFormTests","testOpenWebForm","testOpenWebForm()",""
"passed","Tue May 13 13:17:55 GMT 2025","Tue May 13 13:17:56 GMT 2025","574","","ui.HomePageTest","","ui.HomePageTest","testOpenHomePage","testOpenHomePage()",""
"passed","Tue May 13 13:18:16 GMT 2025","Tue May 13 13:18:17 GMT 2025","929","","ui.WebFormTests","","ui.WebFormTests","testSubmitForm","testSubmitForm()",""
"passed","Tue May 13 13:18:14 GMT 2025","Tue May 13 13:18:15 GMT 2025","1039","","ui.NavigationTests","","ui.NavigationTests","testNextButton","testNextButton()",""
"passed","Tue May 13 13:17:56 GMT 2025","Tue May 13 13:18:03 GMT 2025","6616","","ui.HomePageTest","","ui.HomePageTest","testClickAllLinks","Click through all links on the homepage",""
"passed","Tue May 13 13:18:03 GMT 2025","Tue May 13 13:18:03 GMT 2025","533","","ui.HomePageTest","","ui.HomePageTest","testOpenAllLinks","Open all links",""
